"","centre","pass_rate","Lat","Long"
"128","Gairloch","86.486486486486498",57.7367922,-5.7019164
"132","Girvan","58.723404255319103",55.241219,-4.858645
"133","Glasgow (Anniesland)","38.212190514069803",55.8892185,-4.3383574
"134","Glasgow (Baillieston)","40.17310849127",55.8607038,-4.1136996
"135","Glasgow (Shieldhall)","36.951354777372799",55.8646137,-4.3485614
"137","Golspie","61.8055555555556",57.9729923,-3.9837147
"138","Goodmayes (London)","37.986290394373697",51.5638199,0.1100187
"140","Grangemouth","54.348437939769198",56.017935,-3.728172
"141","Grantham (Somerby)","49.385008122534202",52.901908,-0.587314
"142","Grantown-On-Spey","52.6666666666667",57.3268643,-3.6095593
"144","Greenford (Whitton Ave East)","38.227146814404399",51.553236,-0.333065
"145","Greenock","43.830005120327698",55.9528663,-4.7693014
"146","Grimsby Coldwater","40.852500527537501",53.5805624,-0.1136582
"148","Haddington","62.5451263537906",55.9519556,-2.7620056
"149","Halifax","35.9816806053365",53.7298616,-1.8915127
"150","Hamilton","46.7167340650876",55.7696099,-4.041934
"151","Hartlepool","54.154609342703601",54.6770891,-1.201239
"153","Hawick","61.470588235294102",55.4361318,-2.7692911
"154","Hayes (London)","40.550300945829697",51.506454,-0.4413024
"155","Heckmondwike","38.179231863442403",53.7073679,-1.6714075
"157","Hendon (London)","41.376162018592296",51.594415,-0.240015
"158","Hereford","56.398910823689597",52.0665513,-2.729448
"160","Hexham","58.289885297184597",54.9745325,-2.1096227
"161","Heysham","49.188426252646401",54.037258,-2.90247
"162","High Wycombe","50.819967561722798",51.6217447,-0.7684643
"163","Hinckley","42.453120196741502",52.5338733,-1.3702733
"164","Hither Green (London)","48.732902867458201",51.4533447,-0.0051181
"165","Hornchurch (London)","46.700862671951498",51.5592735,0.2208833
"166","Horsforth","44.878843412746903",53.8397958,-1.6219244
"167","Huddersfield","46.7582336434795",53.6495358,-1.7905698
"169","Huntly","60.200668896321098",57.4451714,-2.7957811
"170","Hyde (Manchester)","55.449871465295601",53.4483621,-2.0796569
"171","Inveraray","84.057971014492793",56.231198,-5.071671
"173","Inverness (Seafield Road)","42.539682539682502",57.4876791,-4.2140917
"177","Islay Island","75.510204081632693",55.756496,-6.285519
"178","Isle of Mull","80.769230769230802",56.5173123,-5.944986
"179","Isle of Skye (Broadford)","51.515151515151501",57.2376205,-5.8913052
"180","Isle of Skye (Portree)","65.2777777777778",57.4167835,-6.199458
"181","Isle of Tiree","85.714285714285694",56.4996206,-6.8092409
"182","Isleworth (Fleming Way)","43.733762216998599",51.466348,-0.337169
"183","Kelso","55.5555555555556",55.6018289,-2.4280696
"184","Kendal (Oxenholme Road)","62.969509500662802",54.311521,-2.734005
"187","Kingussie","55.5555555555556",57.0786177,-4.0537893
"189","Knaresborough","48.940677966101703",54.0012816,-1.4440454
"190","Kyle of Lochalsh","50",57.2805126,-5.7209757
"191","Lairg","50",58.0229805,-4.395582
"193","Lanark","55.278766310794801",55.6630988,-3.7471234
"195","Launceston","50.152107779226398",50.612014,-4.330726
"198","Leicester (Cannock Street)","34.963219385547397",52.6635284,-1.0803649
"200","Leighton Buzzard (Stanbridge Road)","46.7813051146384",51.9117834,-0.6307914
"202","Letchworth","47.184757011346598",51.9782042,-0.2146562
"203","Lichfield","50.292854353768099",52.6819902,-1.8333556
"205","Livingston","44.219719604688599",55.8871242,-3.5342048
"206","Llandrindod Wells","73.187183811129799",52.2389193,-3.374872
"207","Llanelli","49.656357388316202",51.6861037,-4.1554484
"209","Lochgilphead","77.181208053691293",56.0358932,-5.4283588
"210","Loughborough","49.2233529726835",52.78065,-1.200923
"211","Loughton (London)","44.975675222278099",51.6496246,0.0564963
"212","Louth","56.354916067146299",53.363611,0.015541
"213","Lowestoft(Mobbs Way)","46.9804248229904",52.486836,1.715681
"214","Ludlow","51.358574610245",52.3653874,-2.6930567
"215","Luton","34.922227797290503",51.8777369,-0.4201718
"217","Maidstone","44.394474783167396",51.2607503,0.5258359
"218","Mallaig","86.363636363636402",57.0061552,-5.8306023
"219","Malton","66.338797814207695",54.1404261,-0.7911172
"220","Melton Mowbray","56.0145256468452",52.76949519,-0.89327179
"222","Middlesbrough","49.254185692541903",54.5719153,-1.1905811
"223","Mill Hill (London)","43.139348638547801",51.6102965,-0.2469642
"224","Mitcham (London)","41.337874917210698",51.3905,-0.13585
"225","Monmouth","53.466135458167301",51.8136389,-2.7098053
"227","Morden (London)","47.881534569983103",51.3866388,-0.2125378
"229","Nelson","50.160650160650199",53.833127,-2.2183232
"230","Newbury (Hambridge Lane)","51.437895166224799",51.397369,-1.288008
"233","Newton Abbot","49.533407988055203",50.5275223,-3.5973475
"234","Newton Stewart","63.684210526315802",54.9607172,-4.4852691
"235","Newtown","58.326817826426897",52.5130621,-3.3159232
"236","Norris Green (Liverpool)","41.988815949428599",53.4440624,-2.9304512
"237","Northallerton","61.840539468464897",54.3403086,-1.4323615
"238","Northampton","48.717379233758997",52.25291,-0.91354
"239","Northwich","48.469833867677103",53.2596517,-2.5262477
"244","Nuneaton","50.222882615156003",52.5245625,-1.4883936
"245","Oban","60.586319218241002",56.4110205,-5.4748843
"247","Oswestry","47.301798800799503",52.843625,-3.0417289
"248","Oxford (Cowley)","48.1154532830788",51.7271898,-1.2249182
"249","Paisley","46.274373259052901",55.8435547,-4.4755318
"250","Peebles","60.594795539033498",55.6573865,-3.1943571
"251","Pembroke Dock","52.203105329416701",51.6945111,-4.9525006
"252","Penzance","49.604743083004003",50.1183054,-5.5420695
"253","Perth (Arran Road)","53.4584980237154",56.4170797,-3.4575168
"254","Peterborough","45.087664695507797",52.5690914,-0.2195415
"255","Peterhead","62.622309197651703",57.487079,-1.8015655
"256","Pinner (London)","41.833975723407903",51.596832,-0.3997188
"257","Pitlochry","77.7777777777778",56.7056417,-3.7332482
"259","Pontefract","40.441438234247101",53.6918719,-1.3035043
"260","Poole","57.356446370530897",50.7410163,-1.9756712
"261","Portsmouth","44.459514444595101",50.8577557,-1.1095793
"262","Preston","55.211640211640201",53.7609072,-2.7501831
"263","Pwllheli","58.280657395701603",52.880693,-4.423345
"264","Reading","46.430397001192702",51.442765,-0.972295
"266","Redhill Aerodrome","45.891378962245099",51.2166085,-0.1447518
"267","Rhyl","45.351294241943997",53.314859,-3.485679
"268","Rochdale (Manchester)","34.233607127940999",53.6147752,-2.1282664
"270","Rothesay","54.629629629629598",55.8364579,-5.0562892
"271","Rugby","46.004206098843298",52.3714152,-1.2883337
"272","Sale (Manchester)","50.050375013993097",53.4194204,-2.3201983
"273","Salisbury","56.882591093117398",51.071918,-1.7881974
"274","Scarborough","52.300613496932499",54.2380854,-0.4037512
"276","Sevenoaks","50.802242412526603",51.2722085,0.1887173
"277","Sheffield (Handsworth)","43.429048016204",53.3690051,-1.3651391
"278","Sheffield (Middlewood Road)","42.387103897537799",53.4166562,-1.5107657
"280","Sidcup (London)","46.126760563380302",51.4195046,0.122365
"281","Skegness","55.731225296442702",53.1424753,0.3252176
"282","Skipton","49.672951135051903",53.9536437,-2.0229888
"283","Slough (London)","43.712686567164198",51.503593,-0.546178
"284","South Shields","47.233631311911097",54.975408,-1.4644062
"285","Southall (London)","40.1422428051604",51.5253855,-0.3648887
"286","Southampton (Forest Hills)","47.605140186915897",50.9342524,-1.3652584
"287","Southampton (Maybush)","45.812200137080197",50.9326831,-1.455187
"288","Southend-on-Sea","45.6410256410256",51.54859,0.708849
"291","St Albans","43.790236051502099",51.752664,-0.3350344
"293","Stafford","50.831353919239902",52.8128382,-2.1255769
"294","Steeton","43.067563240473902",53.899224,-1.951736
"295","Stevenage","48.829500725088003",51.9108062,-0.2084618
"296","Stirling","42.574541284403701",56.1108053,-3.939445
"300","Stranraer","60.344827586206897",54.904969,-5.0211912
"301","Sunderland","42.873230373230399",54.9212346,-1.4261832
"305","Telford","41.122625215889499",52.7193206,-2.4646442
"306","Thurso","61.576354679803003",58.5922966,-3.5365528
"307","Tilbury","42.839374555792503",51.464263,0.3513723
"308","Tolworth (London)","50.8682976296109",51.3829732,-0.2935885
"309","Tottenham","37.5391498881432",51.6077055,-0.0815071
"310","Trowbridge","50.078125",51.313892,-2.202344
"311","Tunbridge Wells","47.721179624664899",51.1363679,0.2640967
"312","Ullapool","75",57.89895,-5.159258
"313","Upton","47.018382902406202",53.3793771,-3.0977423
"314","Uxbridge (London)","48.607386011966199",51.541032,-0.472985
"316","Wallasey","42.645502645502603",53.4190136,-3.027635
"317","Wanstead (London)","35.711516091508301",51.5804552,0.0238117
"318","Warrington","53.426676492262303",53.410261,-2.579234
"319","Warwick (Wedgenock House)","47.196671046868197",52.2951123,-1.6005074
"320","Watford","46.401861392720598",51.6664324,-0.3652527
"322","Wednesbury","37.374317724791702",52.5548564,-2.0124196
"324","West Didsbury (Manchester)","44.622929845760197",53.4247666,-2.2579375
"325","West Wickham (London)","47.059346916985497",51.3750784,-0.0113532
"326","Westbury","50.439238653001503",51.253005,-2.184659
"327","Weston-super-Mare","55.500261917234198",51.3410186,-2.9726694
"328","Whitby","63.434343434343397",54.4826306,-0.6083229
"329","Whitchurch","47.671232876712303",52.965405,-2.6798607
"330","Wick","60.122699386503101",58.451275,-3.090667
"332","Winchester","50.014590020425999",51.056459,-1.3220832
"334","Wood Green (London)","39.565324771548497",51.60174,-0.114861
"335","Worcester","48.214515921103498",52.2139975,-2.1780456
"336","Workington","50.563022157646202",54.635058,-3.569398
"337","Worksop","55.3712871287129",53.3231121,-1.1592705
"339","Yeading (London)","39.5161290322581",51.5235223,-0.3901093
"340","Yeovil","61.888463861485803",50.943726,-2.660901
"341","York","53.990102072378598",53.9600897,-1.0281778
